ID,L1,L2,Product Name,Price,Description,Stars,Reviews,Colors,Capacity
516,computers,laptops,Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2,,"128,256,512"
517,computers,laptops,Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2,,"128,256,512"
518,computers,laptops,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",1,2,,"128,256,512"
519,computers,laptops,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",4,8,,"128,256,512"
520,computers,laptops,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",3,12,,"128,256,512"
521,computers,laptops,Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",1,2,,"128,256,512"
522,computers,laptops,ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",2,13,,"128,256,512"
523,computers,laptops,Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",1,4,,"128,256,512"
524,computers,laptops,Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",3,12,,"128,256,512"
525,computers,laptops,Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",3,4,,"128,256,512"
526,computers,laptops,ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",3,10,,"128,256,512"
527,computers,laptops,HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",2,13,,"128,256,512"
528,computers,laptops,ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",3,2,,"128,256,512"
529,computers,laptops,HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",2,10,,"128,256,512"
530,computers,laptops,Asus VivoBook Max,$399.00,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4,,"128,256,512"
531,computers,laptops,Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",4,14,,"128,256,512"
532,computers,laptops,Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",2,0,,"128,256,512"
533,computers,laptops,Acer Aspire A515-51-5654,$679.00,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",2,9,,"128,256,512"
534,computers,laptops,Dell Inspiron 15,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",2,7,,"128,256,512"
535,computers,laptops,Asus VivoBook S14,$729.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",1,2,,"128,256,512"
536,computers,laptops,Asus ROG STRIX GL553VD-DM256,$799.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",2,7,,"128,256,512"
537,computers,laptops,Acer Nitro 5 AN515-51,$809.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",1,0,,"128,256,512"
538,computers,laptops,Asus ROG STRIX GL553VD-DM256,$899.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",1,7,,"128,256,512"
539,computers,laptops,Lenovo ThinkPad L570,$999.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",3,11,,"128,256,512"
540,computers,laptops,Lenovo Legion Y520-15IKBM,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",3,11,,"128,256,512"
541,computers,laptops,Lenovo Legion Y720,$1399.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",3,8,,"128,256,512"
542,computers,laptops,Asus ROG Strix GL702ZC-GC154T,$1769.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",4,7,,"128,256,512"
543,computers,laptops,Asus ROG Strix GL702ZC-GC209T,$1769.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",1,8,,"128,256,512"
